Numéro de notice,Titre,Facteur ou auteur,Type d'objet,Instrument niveau 1,Instrument niveau 2,Instrument niveau 3,Collection d'origine,Incontournable,URL Photographie,URL Enregistrement,Enregistrement,Continent,Pays,Code ISO-2,Ville,Coordonnées,Autres descripteurs géographiques
130081,Violon / E.979.2.39,"Lejeune, François (vers 1720/1724-1785)",Instrument de musique,Instrument à cordes,Violons,Violon,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000011957.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130083,Clavecin / E.979.2.4,"Collesse, Joseph (1717-1776)",Instrument de musique,Instrument à clavier,Clavecins,Clavecin,Alain Vian,,https://mimo-international.com/media/CM/IMAGE/CMIM000023885.jpg,,,Europe,France,FR,Lyon,"45.74846, 4.84671",
130085,Alto / E.979.2.40,"Lejeune, François (vers 1720/1724-1785)",Instrument de musique,Instrument à cordes,Altos,Alto,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000013990.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130086,Violoncelle / E.979.2.41,"Lejeune, François (vers 1720/1724-1785)",Instrument de musique,Instrument à cordes,Violoncelles,Violoncelle,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000013992.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130088,Alto / E.979.2.43,"Fleury, Benoît (1719-1792)",Instrument de musique,Instrument à cordes,Altos,Alto,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000013996.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130090,Contrebasse / E.979.2.45,"Fleury, Benoît (1719-1792)",Instrument de musique,,,,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000026091.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130091,Violon / E.979.2.47,"Des Rousseaux, Nicolas (vers 1715/1717-1783)",Instrument de musique,Instrument à cordes,Violons,Violon,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000014000.jpg,,,Europe,France,FR,Verdun,"49.15964, 5.3829",Lorraine
130093,Quinton / E.979.2.48,"Des Rousseaux, Nicolas (vers 1715/1717-1783)",Instrument de musique,Instrument à cordes,Violes,Quinton,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000014002.jpg,,,Europe,France,FR,Verdun,"49.15964, 5.3829",Lorraine
130094,Clavecin / E.979.2.5,"Erard, Sébastien (1752-1831)",Instrument de musique,Instrument à clavier,Clavecins,Clavecin,Mme Erard,,https://mimo-international.com/media/CM/IMAGE/CMIM000023926.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130096,Violoncelle / E.979.2.50,"Des Rousseaux, Nicolas (vers 1715/1717-1783)",Instrument de musique,Instrument à cordes,Violoncelles,Violoncelle,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000014006.jpg,,,Europe,France,FR,,,
130097,Trompette à pistons en fa / E.976.14.1,Anonyme,Instrument de musique,Instrument à vent,Trompettes,Trompette,,,https://mimo-international.com/media/CM/IMAGE/CMIM000019897.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130099,Trompette naturelle / E.976.14.2,Anonyme,Instrument de musique,Instrument à vent,Trompettes,Trompette naturelle,,,https://mimo-international.com/media/CM/IMAGE/CMIM000019899.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130100,Trompette à pistons en si bémol / E.976.14.3,"Selmer, Henri (1858-1941)",Instrument de musique,Instrument à vent,Trompettes,Trompette,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027929.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130102,Violon d'amour / E.979.2.52,"Lambert, Jean Nicolas (1708-1759)",Instrument de musique,Instrument à cordes,Violes,Viole d'amour,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000014010.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130104,Trompette à pistons piccolo / E.976.14.4,"Selmer, Henri (1858-1941)",Instrument de musique,,,,,,https://mimo-international.com/media/CM/IMAGE/CMIM000020069.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130105,Viole d'amour / E.979.2.53,"Lambert, Jean Nicolas (1708-1759)",Instrument de musique,Instrument à cordes,Violes,Viole d'amour,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000012005.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130106,Vielle à roue / E.979.2.54,"Lambert, Jean Nicolas (1708-1759)",Instrument de musique,Instrument à cordes,Vielles à roue,Vielle à roue,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000012009.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130107,Mandoline / E.979.2.56,"Lambert, Jean Nicolas (1708-1759)",Instrument de musique,Instrument à cordes,Mandolines,Mandoline,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000019685.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130108,Violon / E.979.2.51,"Lambert, Jean Nicolas (1708-1759)",Instrument de musique,Instrument à cordes,Violons,Violon,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000014008.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130109,Violon / E.979.2.57,"Renaudin, Léopold (1756-1795)",Instrument de musique,Instrument à cordes,Violons,Violon,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000012011.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130111,Violoncelle / E.979.2.58,"Renaudin, Léopold (1756-1795)",Instrument de musique,Instrument à cordes,Violoncelles,Violoncelle,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000014015.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130112,Chevalet de violon / E.903.27,Anonyme,Élément d'instrument de musique,,,,Jean-Baptiste Vuillaume,,,,,Europe,Italie,IT,Crémone,"45.13325, 10.02129",
130114,Pochette / E.979.2.62,"Bertrand, Nicolas (16..-1725)",Instrument de musique,Instrument à cordes,Violons,Pochette,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000012031.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130116,Chevalet de violon / E.903.28,Anonyme,Élément d'instrument de musique,,,,Jean-Baptiste Vuillaume,,,,,Europe,Italie,IT,Crémone,"45.13325, 10.02129",
130118,Pardessus de viole / E.979.2.66,"Louvet, Jean (vers 1720-1793)",Instrument de musique,Instrument à cordes,Violes,Pardessus de viole,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000014026.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130120,Chevalet de violon / E.903.29,Anonyme,Élément d'instrument de musique,,,,Jean-Baptiste Vuillaume,,,,,Europe,Italie,IT,Crémone,"45.13325, 10.02129",
130122,Virginale / E.979.2.6,"Ruckers, Ioannes (1578-1642)",Instrument de musique,Instrument à clavier,Clavecins,Virginale,Lapersonne-Bazin,,https://mimo-international.com/media/CM/IMAGE/CMIM000023793.jpg,,,Europe,Belgique,BE,Anvers,"51.22047, 4.40026",
130125,Violon / E.979.2.60,"Boquay, Jacques (vers 1680-1730)",Instrument de musique,Instrument à cordes,Violons,Violon,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000014020.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130127,Chevalet de violon / E.903.?,"Bergonzi, Carlo (1683-1747)",Élément d'instrument de musique,,,,Jean-Baptiste Vuillaume,,,,,Europe,Italie,IT,Crémone,"45.13325, 10.02129",
130129,Guitare / E.979.2.70,"Voboam, Jean (vers 1633-après 1691)",Instrument de musique,Instrument à cordes,Guitares,Guitare,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000019151.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130131,Chevalet de violon / E.903.?,"Pique, François-Louis (1758-1822)",Élément d'instrument de musique,,,,Jean-Baptiste Vuillaume,,,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130133,Cistre / E.979.2.71,"Rauche, Michaël (17..-?)",Instrument de musique,Instrument à cordes,Cistres,Cistre,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000015172.jpg,,,Europe,Royaume-Uni,GB,Londres,"51.50853, -0.12574",Angleterre
130135,Contrebasse / E.979.8.1,"Gaviniès, François (vers 1683-1772)",Instrument de musique,Instrument à cordes,Contrebasses,Contrebasse,,,https://mimo-international.com/media/CM/IMAGE/CMIM000026086.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
130137,Flûte à bec alto / E.98,"Oberlender, Johann Wilhelm I (1681-1763)",Instrument de musique,Instrument à vent,Flûtes,Flûte à bec,Soulage,,https://mimo-international.com/media/CM/IMAGE/CMIM000035276.jpg,,,Europe,Allemagne,DE,Nuremberg,"49.45421, 11.07752",
130139,Flûte traversière en fa / E.980.2.1,"Scherer, Johannes II (1664-1722)",Instrument de musique,Instrument à vent,Flûtes,Flûte traversière,Geneviève Thibault de Chambure,,https://mimo-international.com/media/CM/IMAGE/CMIM000014033.jpg,,,Europe,Allemagne,DE,Butzbach,"50.43395, 8.67122",
130141,Violon / E.979.1.1,"Grand-Gérard, Jean-Baptiste (17..-après 1822)",Instrument de musique,Instrument à cordes,Violons,Violon,,,https://mimo-international.com/media/CM/IMAGE/CMIM000011437.jpg,,,Europe,France,FR,Mirecourt,"48.30089, 6.13282",Lorraine
